Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_46_518.jpg;0;1;0;0.6526693;99.84875;85.84195;1.198055;54.66325;-0.0005700985
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_46_559.jpg;0;1;0;0.6715313;99.86462;85.86416;1.241753;54.62131;-0.000461573
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_46_601.jpg;0;1;0;0.6966692;99.88944;85.89877;1.249497;54.49907;-6.642338E-05
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_46_642.jpg;0;1;0;0.7270421;99.90656;85.9226;1.226426;54.48394;-0.001236521
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_46_684.jpg;0;1;0;0.7775448;99.92451;85.94769;1.203059;54.48371;-0.0005207033
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_46_727.jpg;0;1;0;0.8044154;99.94322;85.97379;1.186173;54.48302;-5.289193E-05
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_46_768.jpg;0;1;0;0.8432096;99.96329;86.00166;1.204256;54.44755;-6.308645E-05
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_46_809.jpg;0;1;0;0.8875031;99.98409;86.03049;1.221518;54.47937;-0.001792665
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_46_852.jpg;0;1;0;0.9114619;100.0058;86.06062;1.239917;54.48635;-0.00116973
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_46_902.jpg;0;1;0;0.960023;100.0395;86.1075;1.247935;54.46645;-0.0007185409
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_46_943.jpg;0;1;0;0.9926601;100.0629;86.13989;1.240365;54.46195;-0.000721848
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_46_985.jpg;0;1;0;1.024964;100.0869;86.17323;1.225286;54.45724;-0.000673141
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_47_026.jpg;0;1;0;1.056897;100.1115;86.20741;1.206746;54.44647;-2.545877E-05
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_47_068.jpg;0;1;0;1.094795;100.137;86.24294;1.211823;54.43856;-0.0003501255
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_47_118.jpg;0;1;0;1.131851;100.1635;86.27964;1.226524;54.40071;-0.000619955
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_47_160.jpg;0;1;0;1.161084;100.2044;86.3363;1.232917;54.35568;-0.000754804
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_47_203.jpg;0;1;0;1.190757;100.2324;86.37511;1.226734;54.35026;-0.0009113721
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_47_253.jpg;0;1;0;1.241465;100.2613;86.41517;1.228371;54.3178;-0.0006206759
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_47_293.jpg;0;1;0;1.272302;100.291;86.45622;1.231078;54.29966;-0.0008005976
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_47_335.jpg;0;1;0;1.306036;100.3215;86.49828;1.233272;54.28217;-0.0006788539
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_47_376.jpg;0;1;0;1.335281;100.3527;86.54131;1.233902;54.27073;-0.0008652334
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_47_418.jpg;0;1;0;1.367354;100.3847;86.58544;1.238292;54.25283;-0.0008250981
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_47_459.jpg;0;1;0;1.400104;100.4174;86.63055;1.241123;54.23912;-0.0008012144
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_47_503.jpg;-1.870998;1;0;1.429985;100.4682;86.69984;1.244258;54.15134;-0.000398833
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_47_543.jpg;-3.76583;1;0;1.46131;100.5035;86.74682;1.243224;53.97111;0.0002833328
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_47_585.jpg;-5.621405;1;0;1.493416;100.5402;86.79433;1.243716;53.6757;0.001263749
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_47_626.jpg;-7.509684;1;0;1.523564;100.5784;86.84225;1.243416;53.2605;0.002075986
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_47_670.jpg;-9.387089;1;0;1.553295;100.6181;86.89046;1.2449;52.71813;0.000432912
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_47_717.jpg;-11.62232;1;0;1.596664;100.6596;86.93877;1.247617;52.04706;359.987
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_47_758.jpg;-13.51213;1;0;1.624681;100.7028;86.98693;1.244366;51.24265;359.9635
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_47_802.jpg;-15;1;0;1.652774;100.7708;87.05833;1.20538;49.79002;359.921
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_47_843.jpg;-13.51058;1;0;1.682113;100.8179;87.10584;1.165636;48.78721;359.8945
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_47_884.jpg;-11.68514;1;0;1.713473;100.8665;87.15388;1.131228;47.87427;359.8711
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_47_935.jpg;-9.790247;1;0;1.744395;100.9162;87.20262;1.103541;47.06577;359.8545
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_47_976.jpg;-7.533516;1;0;1.790841;100.967;87.25221;1.084207;46.37929;359.8479
C:\Users\fgria\OneDrive\Udacity\RoboND-Rover-Project-master\Dataset\IMG\robocam_2018_08_18_14_38_48_019.jpg;-5.676918;1;0;1.821419;101.0188;87.30272;1.074369;45.81322;359.8517
